File_name,cgpa,sgpa
22010106017_1800265537.html,N/A,N/A
21010306040_1800265534.html,N/A,N/A
20010106012_1800265408.html,N/A,N/A
20010505057_1800265904.html,6.60,6.70
21020106012_1800265639.html,N/A,N/A
23010304026_1800265989.html,6.61,6.61
22020901037_1800265813.html,7.29,7.38
23010501049_1800265991.html,3.35,3.35
20010106010_1800265911.html,N/A,N/A
22010304074_1800265815.html,6.69,6.25
20010306005_1800265638.html,N/A,N/A
20010406008_1800265402.html,N/A,N/A
21021401004_1800265267.html,1.46,1.15
21010901018_1800265929.html,5.50,5.13
21020107009_1800265540.html,7.38,7.6
20011303003_1800265235.html,N/A,N/A
20010106027_1800265639.html,N/A,N/A
21010101057_1800265291.html,6.81,6.17
21011403009_1800265238.html,6.13,6.13
21010106033_1800265535.html,N/A,N/A
22011206007_1800265796.html,N/A,N/A
22010205037_1800265771.html,0.73,0.63
20010203047_1800266013.html,5.88372093023256,3.47826086956522
22010106025_1800266017.html,N/A,N/A
20010204003_1800265270.html,5.26,4.50
21020406009_1800265802.html,N/A,N/A
22010203020_1800266009.html,6.51351351351351,7.34615384615385
21010106040_1800265906.html,N/A,N/A
21010306044_1800266018.html,N/A,N/A
21011203006_1800266011.html,8.29508196721311,8.58333333333333
20010306032_1800265549.html,N/A,N/A
22010203027_1800265587.html,6.00,6.00
20010305052_1800265775.html,7.16,6.11
21011303012_1800265299.html,5.15,4.25
21020107002_1800265920.html,2.88,2.96
20010101050_1800265469.html,8.13,7.63
20011306003_1800265908.html,N/A,N/A
22020205011_1800265531.html,7.65,7.65
22021006005_1800265408.html,N/A,N/A
21010501003_1800265928.html,2.67,2.67
21010106019_1800265536.html,N/A,N/A
21020406026_1800265534.html,N/A,N/A
